#Table1
specObjID,plate,mjd,ra,dec,z,targetObjID,class
4937212750130245632,4385,55752,322.7307,-2.2524797,0.2253032,0,GALAXY
4937224569880244224,4385,55752,322.91388,-1.4133744,0.2320464,1237666185625993846,GALAXY
4937218522566291456,4385,55752,323.08017,-1.9925359,2.76934,1237678880467583794,QSO
4937225394513965056,4385,55752,323.18875,-2.1002118,0.5278513,1237679026498438069,GALAXY
4937191309653504000,4385,55752,323.31461,-2.5783544,0.5566025,1237666211954885992,GALAXY
4937191584531410944,4385,55752,323.4047,-2.4845337,0.2324374,1237678879930843746,GALAXY
4937183613072109568,4385,55752,323.49775,-3.2335807,0.5540808,1237680191506481707,GALAXY
4937238038897684480,4385,55752,323.56809,-1.7818939,8.563163E-05,1237679027035439876,STAR
4937177016002342912,4385,55752,323.64149,-2.7453109,0.419875,1237680192043417961,GALAXY
4937167670153506816,4385,55752,323.72631,-2.4914084,0.5838953,1237678879931040606,GALAXY
4937166295763972096,4385,55752,323.77894,-2.5189821,0.2328064,1237666184015250035,GALAXY
4937262503031402496,4385,55752,323.84024,-2.0930222,0.3471821,1237678880467911351,GALAXY
4937156400159322112,4385,55752,323.91795,-2.6402438,-0.00288754,0,STAR
4937267175955820544,4385,55752,323.99227,-1.5303917,1.588125,1237678881004848272,QSO
4937146504554672128,4385,55752,324.04815,-2.5380398,0.3054138,1237680067485958958,GALAXY
4937144305531416576,4385,55752,324.11578,-2.9004771,0.4316726,1237680192043615331,GALAXY
4937141831630254080,4385,55752,324.18396,-2.9976463,0.5101529,1237680066949218889,GALAXY
4937126988223279104,4385,55752,324.25082,-3.2510625,0.5788095,1237680191506809998,GALAXY
4937128087734906880,4385,55752,324.3189,-3.4374215,0.5494485,1237666229134164674,GALAXY
4937292464723259392,4385,55752,324.39804,-2.0119987,0.4913342,1237678880468173713,QSO
4937120666031419392,4385,55752,324.48495,-2.9611895,0.7694738,0,GALAXY
4937304284473257984,4385,55752,324.55259,-1.8105696,0.3424893,1237679027035898242,GALAXY
