#Table1
specObjID,plate,mjd,ra,dec,z,targetObjID,class
5362710557902958592,4763,55869,123.66715,3.9256416,0.6184546,1237658424074829964,GALAXY
5362874385135497216,4763,55869,123.38048,4.6828405,0.5706095,1237660412106638789,GALAXY
5362874110257590272,4763,55869,123.35219,4.7886443,0.6107138,1237658425148441694,QSO
5362873835379683328,4763,55869,123.33724,4.7704189,4.314446E-05,1237660412106637437,STAR
5362873285623869440,4763,55869,123.40412,4.733225,0.5697615,1237660412106638622,GALAXY
5362873010745962496,4763,55869,123.40162,4.7815699,2.345682,1237660412106638127,QSO
5362872186112241664,4763,55869,123.40654,4.8918721,0.4792782,1237660668730212612,GALAXY
5362871911234334720,4763,55869,123.38806,5.0802146,0.0003579939,1237661063867858957,STAR
5362871361478520832,4763,55869,123.36311,4.8936794,0.5744437,1237660668730213211,GALAXY
5362870811722706944,4763,55869,123.39398,5.0388946,0.2828371,1237661063867859674,GALAXY
5362869712211079168,4763,55869,123.39619,5.0955574,0.0001094049,1237661063867859987,STAR
5362868337821544448,4763,55869,123.33789,5.4572437,0.5638751,1237661064404731456,GALAXY
5362867788065730560,4763,55869,123.37822,5.4248119,0.5928063,1237661064404731087,GALAXY
5362867238309916672,4763,55869,123.3336,5.5147958,0.7272565,1237661064404730987,GALAXY
5362866413676195840,4763,55869,123.42063,5.9047945,0.4572813,1237661064941667358,GALAXY
5362865314164568064,4763,55869,123.37902,6.0622554,0.4043093,1237661068162761867,GALAXY
5362865039286661120,4763,55869,123.39174,6.1136793,0.6388292,1237661068162760893,GALAXY
5362728424966909952,4763,55869,123.34329,3.4821464,0.2842093,1237654606920286981,GALAXY
5362727325455282176,4763,55869,123.44289,4.4793759,0.341589,1237658300592489554,GALAXY
5362727050577375232,4763,55869,123.47779,4.5462843,0.5539884,1237658300592489664,GALAXY
5362726775699468288,4763,55869,123.4045,4.422406,2.305202,1237658424611635813,QSO
5362726500821561344,4763,55869,123.33678,4.4413831,0.5984226,1237658300592424451,GALAXY
5362725676187840512,4763,55869,123.32358,4.4116741,0.3143876,1237658424611570788,GALAXY
5362724576676212736,4763,55869,123.39725,4.3041643,0.4285963,1237660411569767478,GALAXY
5362724301798305792,4763,55869,123.32101,4.2962836,0.4679165,1237660411569702212,GALAXY
5362724026920398848,4763,55869,123.34065,4.3788566,0.0002528308,1237658424611570428,STAR
5362723752042491904,4763,55869,123.34894,4.3551403,0.4302946,1237660411569767353,GALAXY
5362723202286678016,4763,55869,123.3291,4.2239874,0.4600376,1237660411569702201,GALAXY
5362722927408771072,4763,55869,123.35529,4.2501711,0.3628801,1237660411569766428,GALAXY
5362722652530864128,4763,55869,123.39122,4.230506,0.4575338,1237660411569767796,GALAXY
5362722377652957184,4763,55869,123.44609,4.2237493,0.4267917,1237660411569767598,GALAXY
5362722102775050240,4763,55869,123.46974,4.3044452,0.5538716,1237660411569767687,GALAXY
5362721553019236352,4763,55869,123.46509,3.855261,0.4845284,1237658424074699953,GALAXY
5362721278141329408,4763,55869,123.33712,4.1407379,2.724219,1237658300055552886,QSO
5362721003263422464,4763,55869,123.3615,3.8237528,0.6828946,1237658424074700016,GALAXY
5362720728385515520,4763,55869,123.42825,3.925539,0.4769321,1237658424074699865,GALAXY
5362720453507608576,4763,55869,123.4474,3.808769,0.0001555292,1237658424074699885,STAR
5362720178629701632,4763,55869,123.38701,3.942883,0.0003964293,1237658424074699157,STAR
5362719903751794688,4763,55869,123.3925,3.7638023,0.3704754,1237658299518682529,GALAXY
5362719628873887744,4763,55869,123.33745,3.9342874,0.0001799555,1237658424074698813,STAR
5362719353995980800,4763,55869,123.35906,3.796052,0.6831099,1237658424074700013,GALAXY
5362719079118073856,4763,55869,123.49338,3.8446061,0.0001641088,1237658424074764344,STAR
